StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,Q3,Q4,Q5,Q6,Q7,Q8,mil_inter_1,mil_inter_2,mil_inter_3,mil_inter_4,ideology_1,interest,conservative,nato,uk,zelensky,attention,Q48_First Click,Q48_Last Click,Q48_Page Submit,Q48_Click Count,direct_mil,indirect_mil,economic,political,general_1,Q40_1,Q49_First Click,Q49_Last Click,Q49_Page Submit,Q49_Click Count,Q47,Q48,Q49,Q50,Q51_1,Q52_1,Q50_First Click,Q50_Last Click,Q50_Page Submit,Q50_Click Count,Q57,Q58,Q59,Q60,Q61_1,Q62_1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"By clicking on the 'I agree' button, you voluntarily agree to participate in the study and authorize the use of all the information obtained.",How would you describe your gender?,How old are you?,What is your ethnic background?,What is the highest level of education you have achieved?,What is your employment status?,What is the level of your annual household income?,How strongly you agree or disagree with each of the following? - The best way to ensure world peace is through American military strength.,How strongly you agree or disagree with each of the following? - The use of military force only makes problems worse.,How strongly you agree or disagree with each of the following? - America needs to cooperate with the United Nations in settling international disputes.,How strongly you agree or disagree with each of the following? - The U.S. government should just try to take care of well-being of Americans and not get involved with other nations.,"In politics we usually talk about ""left"" and ""right"". On a scale where ""0"" is ""left"" and ""10"" is ""right"", where would you place yourself?",How interested are you in politics?,Which political party is generally more conservative?,Which of the following countries is NOT part of the North Atlantic Treaty Organization (NATO)?,Who was the prime minister of the United Kingdom in March 2022?,What country does this person lead?,"We want to make sure you are reading the questions. Please, select the number '3'",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,In regards to US military forces:,In regards to US military aid:,In regards to economic sanctions:,In regards to political action:,How extreme should the US response to Russia's invasion be?,How large of a threat does Russia pose to US interests?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,In regards to US military forces:,In regards to US military aid:,In regards to economic sanctions:,In regards to political action:,How extreme should the US response to Russia's invasion be?,How large of a threat does Russia pose to US interests?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,In regards to US military forces:,In regards to US military aid:,In regards to economic sanctions:,In regards to political action:,How extreme should the US response to Russia's invasion be?,How large of a threat does Russia pose to US interests?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID13""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID26""}","{""ImportId"":""QID63_FIRST_CLICK""}","{""ImportId"":""QID63_LAST_CLICK""}","{""ImportId"":""QID63_PAGE_SUBMIT""}","{""ImportId"":""QID63_CLICK_COUNT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID64_FIRST_CLICK""}","{""ImportId"":""QID64_LAST_CLICK""}","{""ImportId"":""QID64_PAGE_SUBMIT""}","{""ImportId"":""QID64_CLICK_COUNT""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID65_FIRST_CLICK""}","{""ImportId"":""QID65_LAST_CLICK""}","{""ImportId"":""QID65_PAGE_SUBMIT""}","{""ImportId"":""QID65_CLICK_COUNT""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID62_1""}"
11/6/22 17:24,11/6/22 17:24,Survey Test,,100,0,TRUE,11/6/22 17:24,R_6WgNISEsPAZRz5c,,,,,33.8231,-84.3258,test,,I agree,Non-binary / third gender,18-24 years old,I prefer not to say,Bachelor’s degree,Unemployed,"$100,000 - $200,000",Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,5,Not at all interested,Democrats,Bulgaria,Scott Morrison,Greece,2,5.26,7.18,7.78,13,Send US troops to Ukraine,Do not send military resources to Ukrainian troops,Do not enact economic sanctions on Russia,Do not condemn Russia's actions in an international court,10,1,,,,,,,,,,,,,,,,,,,,
11/6/22 17:24,11/6/22 17:25,Survey Test,,100,1,TRUE,11/6/22 17:25,R_ebVZiQ8xX8t7dtA,,,,,33.8231,-84.3258,test,,I don't agree,Non-binary / third gender,Less than 18 years old,Mixed race,Master’s degree or above,Contract/ Temporary,"More than $200,000",Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,4,Not interested,Republicans,Bulgaria,Justin Trudeau,United Kingdom,4,,,,,,,,,,,,,,,,,,,,,8.16,9.42,9.99,1,Send US troops to Ukraine,Do not send military resources to Ukrainian troops,Do not enact economic sanctions on Russia,Condemn Russia's actions in an international court,3,7
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,0,TRUE,11/6/22 17:25,R_1RJFLBQrnmDJVbw,,,,,33.8231,-84.3258,test,,I don't agree,Female,25-34 years old,Mixed race,I prefer not to say,Part-time,"$100,000 - $200,000",Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,9,Somewhat interested,Republicans,Estonia,Theresa May,United Kingdom,4,4.8,8.67,7.32,19,Do not send US troops to Ukraine,Do not send military resources to Ukrainian troops,Do not enact economic sanctions on Russia,Condemn Russia's actions in an international court,4,9,,,,,,,,,,,,,,,,,,,,
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,0,TRUE,11/6/22 17:25,R_cV1rRBbwKHhTfDg,,,,,33.8231,-84.3258,test,,I don't agree,Prefer not to say,Less than 18 years old,Asian - Indian,Highschool,Unemployed,"Less than $25,000",Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,10,Somewhat interested,Don't know,Ukraine,Boris Johnson,Greece,1,,,,,,,,,,,6.03,8.92,8.38,12,Send US troops to Ukraine,Do not send military resources to Ukrainian troops,Enact economic sanctions on Russia,Do not condemn Russia's actions in an international court,8,0,,,,,,,,,,
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,0,TRUE,11/6/22 17:25,R_emkylq3x5RMoajk,,,,,33.8231,-84.3258,test,,I agree,Male,25-34 years old,Hispanic,Bachelor’s degree,Full-time,"$50,000 - $100,000",Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,5,Somewhat interested,Democrats,Estonia,Boris Johnson,Greece,3,,,,,,,,,,,8.77,9.21,9.91,42,Send US troops to Ukraine,Do not send military resources to Ukrainian troops,Enact economic sanctions on Russia,Condemn Russia's actions in an international court,0,3,,,,,,,,,,
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,0,TRUE,11/6/22 17:25,R_9uaxhMJdCQzMumW,,,,,33.8231,-84.3258,test,,I agree,Male,25-34 years old,Asian - Eastern,Master’s degree or above,Unable to work,I prefer not to say,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,3,Not at all interested,Don't know,Turkey,Don't know,Don't know,3,9.23,9.73,9.44,26,Send US troops to Ukraine,Send military resources to Ukrainian troops,Enact economic sanctions on Russia,Condemn Russia's actions in an international court,7,7,,,,,,,,,,,,,,,,,,,,
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,0,TRUE,11/6/22 17:25,R_eSgOLBS297Fpqrs,,,,,33.8231,-84.3258,test,,I agree,Male,55+ years old,African-American,Highschool,Unemployed,"$50,000 - $100,000",Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,2,Not interested,Republicans,Don't know,Don't know,Ukraine,2,,,,,,,,,,,,,,,,,,,,,2.75,4.49,9.53,34,Do not send US troops to Ukraine,Send military resources to Ukrainian troops,Do not enact economic sanctions on Russia,Condemn Russia's actions in an international court,8,6
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,0,TRUE,11/6/22 17:25,R_cuMVnq8Aoii83Y2,,,,,33.8231,-84.3258,test,,I agree,Non-binary / third gender,Prefer not to say,Hispanic,Master’s degree or above,Unemployed,"$100,000 - $200,000",Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,9,Somewhat interested,Don't know,Don't know,Theresa May,Ukraine,4,,,,,,,,,,,3.3,9.56,7.45,16,Do not send US troops to Ukraine,Do not send military resources to Ukrainian troops,Enact economic sanctions on Russia,Condemn Russia's actions in an international court,5,8,,,,,,,,,,
