"id","Z","russia","warfare","direct","indirect","economic","political","general"
1,0,2,1,1,1,4,3,0
2,1,2,1,0,4,4,4,0
3,0,3,1,2,0,0,0,0
4,0,1,2,3,4,2,3,1
5,0,3,3,1,1,2,1,0
6,1,1,2,2,2,4,3,2
7,0,1,1,2,4,4,3,4
8,0,3,2,0,3,3,2,0
9,0,3,2,2,3,0,0,0
10,1,2,1,2,2,1,4,3
11,0,3,3,2,1,3,0,1
12,0,3,3,2,4,3,1,0
13,0,2,2,4,4,0,3,4
14,1,2,1,2,4,1,1,0
15,0,3,2,0,0,0,2,0
16,1,3,2,1,3,2,1,0
17,0,3,2,0,3,2,0,0
18,1,2,1,0,2,3,1,2
19,0,2,2,4,0,3,2,3
20,1,2,3,2,4,4,3,1
21,0,2,3,4,3,1,3,1
22,1,3,1,0,1,0,1,1
23,1,1,2,1,3,4,4,0
24,0,3,1,0,0,0,1,0
25,0,2,3,4,3,3,0,4
26,0,3,1,0,0,2,3,2
27,0,3,3,1,2,2,3,3
28,1,3,1,0,3,4,4,0
29,0,1,3,4,4,4,4,1
30,1,2,1,1,2,1,4,1
31,0,2,3,1,3,3,3,3
32,1,1,2,0,4,2,3,3
33,0,3,3,4,2,3,3,0
34,1,3,3,1,1,0,2,0
35,1,2,1,2,2,1,2,0
36,0,3,3,3,4,0,3,0
37,0,3,2,1,2,2,3,2
38,1,1,3,4,4,4,4,2
39,0,2,3,1,2,4,2,2
40,0,2,1,0,0,3,3,4
41,0,1,1,1,4,4,4,3
42,1,2,2,0,4,3,4,3
43,0,3,3,2,0,0,0,2
44,1,2,2,0,2,4,3,2
45,1,3,3,0,2,3,1,0
46,0,2,1,3,0,3,4,4
47,0,2,1,1,2,0,1,4
48,0,2,3,3,4,2,1,3
49,1,2,1,2,4,1,4,0
50,1,3,3,0,3,0,0,0
51,1,1,3,3,4,2,4,3
52,0,3,1,1,0,1,3,0
53,0,3,2,1,0,0,0,0
54,0,1,2,3,4,3,4,4
55,1,1,2,0,4,2,4,1
