"id","treatment","Z","russia","warfare","direct","indirect","economic","political","general"
1,1,1,3,1,1.828,0,1.172,1.172,0
2,2,1,2,3,4,4,4,1.376,0.624
3,1,1,2,3,1.828,1.172,3.172,4,2.828
4,1,1,3,1,1.828,2.172,3.172,0.172,2.828
5,0,0,2,3,3,4,0,0,0
6,1,1,3,2,2.828,0.172,1.172,0,0.828
7,2,1,1,3,3.624,4,4,4,4
8,2,1,1,1,3.624,4,3.376,3.376,0.624
9,0,0,2,2,0,1,0,4,1
10,1,1,3,3,0,3.172,3.172,3.172,1.828
11,0,0,3,2,1,0,0,1,3
12,2,1,2,3,0.624,4,0.376,3.376,2.624
13,1,1,3,1,0,2.172,1.172,2.172,1.828
14,1,1,2,3,1.828,4,0.172,0.172,3.828
15,2,1,1,1,1.624,1.376,4,4,2.624
16,0,0,1,3,4,2,1,4,3
17,1,1,2,2,1.828,1.172,2.172,0.172,3.828
18,2,1,2,1,0.624,3.376,2.376,1.376,1.624
19,1,1,3,2,1.828,3.172,0.172,1.172,2.828
20,0,0,1,2,4,3,2,4,4
21,1,1,3,1,1.828,0.172,2.172,1.172,1.828
22,2,1,2,2,0.624,0.376,0.376,3.376,1.624
23,2,1,3,1,0,0,3.376,0.376,0
24,1,1,2,3,4,1.172,0.172,1.172,2.828
25,2,1,3,1,0,0,0.376,0.376,0
26,1,1,1,2,4,2.172,3.172,4,2.828
27,1,1,2,1,2.828,2.172,0.172,3.172,2.828
28,1,1,3,3,3.828,2.172,3.172,0.172,1.828
29,0,0,1,3,2,3,3,4,2
30,2,1,1,3,4,4,2.376,3.376,1.624
31,1,1,3,2,0,0,1.172,2.172,0.828
32,0,0,1,1,0,2,4,4,4
33,0,0,3,1,1,0,1,0,0
34,0,0,1,1,0,0,4,4,1
35,1,1,2,3,4,2.172,2.172,1.172,1.828
36,1,1,2,1,2.828,0.172,3.172,0.172,0
37,0,0,1,3,4,4,4,2,1
38,0,0,1,2,1,4,4,4,4
39,0,0,2,1,2,2,0,0,1
40,0,0,2,1,1,3,2,0,0
41,0,0,3,2,1,1,3,2,3
42,0,0,2,2,3,0,4,0,4
43,1,1,2,1,0.828,0,3.172,0.172,3.828
44,1,1,3,2,2.828,0.172,3.172,0.172,0
45,0,0,1,1,3,0,4,1,4
46,0,0,1,3,4,3,3,4,1
47,0,0,3,1,0,0,1,0,0
48,2,1,1,1,1.624,0.376,4,4,0.624
49,0,0,2,3,1,4,0,3,0
50,2,1,2,3,1.624,4,0.376,0.376,3.624
51,2,1,3,2,1.624,2.376,0,1.376,0
52,0,0,2,1,1,0,0,2,2
53,1,1,2,3,3.828,1.172,3.172,1.172,3.828
54,2,1,2,2,0.624,0.376,4,3.376,2.624
55,0,0,1,3,2,3,1,2,2
56,1,1,2,1,0,2.172,3.172,0.172,2.828
57,0,0,1,3,4,2,3,1,4
58,2,1,2,1,0.624,3.376,0.376,2.376,0.624
59,0,0,3,2,1,3,2,2,0
60,2,1,3,2,0,2.376,3.376,0.376,0
61,0,0,3,2,3,2,3,1,1
62,1,1,2,3,2.828,4,0.172,2.172,3.828
63,1,1,3,3,0,4,0.172,0.172,1.828
64,1,1,3,3,3.828,1.172,1.172,1.172,1.828
65,0,0,2,2,4,0,3,2,2
66,0,0,1,2,1,3,4,1,2
67,0,0,2,3,2,4,4,0,3
68,1,1,3,3,0.828,2.172,2.172,0,2.828
69,1,1,3,2,0,2.172,1.172,0,0.828
70,2,1,2,3,0.624,4,0.376,3.376,0.624
71,2,1,1,3,2.624,4,4,3.376,4
72,1,1,1,3,4,2.172,1.172,4,4
73,0,0,2,3,4,1,4,4,2
74,0,0,1,1,4,2,3,4,1
75,2,1,1,2,0.624,4,1.376,1.376,3.624
76,2,1,2,3,0.624,4,3.376,0.376,0.624
77,0,0,2,3,1,1,1,2,4
78,0,0,2,1,3,1,1,2,3
79,0,0,2,3,2,4,4,1,1
80,1,1,3,1,0,1.172,0.172,0,0.828
81,1,1,2,2,2.828,2.172,2.172,1.172,1.828
82,2,1,1,2,0.624,3.376,4,1.376,0.624
83,2,1,2,3,2.624,4,0.376,1.376,2.624
84,0,0,2,3,3,3,3,1,4
85,0,0,1,1,2,2,4,1,4
86,1,1,3,1,0.828,0.172,1.172,3.172,1.828
87,2,1,2,3,3.624,1.376,1.376,4,2.624
88,2,1,3,2,2.624,0,1.376,2.376,0
89,2,1,1,3,3.624,3.376,4,3.376,2.624
90,1,1,3,2,0.828,2.172,0.172,2.172,1.828
91,0,0,3,3,0,0,0,0,3
92,1,1,2,3,0.828,4,0.172,2.172,0
93,1,1,3,3,0,3.172,2.172,1.172,0
94,1,1,1,1,0,0.172,2.172,3.172,1.828
95,0,0,3,1,0,2,0,0,3
96,1,1,2,2,0.828,3.172,0.172,1.172,2.828
97,0,0,2,2,4,2,1,1,1
98,2,1,1,1,0,0.376,4,1.376,0.624
99,1,1,2,2,2.828,2.172,4,3.172,2.828
100,0,0,2,1,0,1,3,2,0
101,2,1,1,1,3.624,1.376,3.376,2.376,2.624
102,2,1,2,1,0.624,0,1.376,1.376,1.624
103,2,1,1,3,3.624,4,1.376,1.376,3.624
104,1,1,2,2,2.828,2.172,0.172,1.172,1.828
105,0,0,1,2,4,3,4,3,4
106,1,1,1,2,4,4,3.172,4,3.828
107,1,1,3,3,2.828,1.172,3.172,0,0.828
108,0,0,1,3,3,3,1,2,2
109,2,1,2,3,4,4,0.376,2.376,1.624
110,0,0,1,2,4,4,3,4,2
111,0,0,1,2,4,2,4,2,2
112,1,1,1,1,2.828,1.172,3.172,4,1.828
113,0,0,2,2,0,2,4,0,4
114,0,0,2,2,2,1,0,2,0
115,1,1,1,3,4,4,3.172,4,3.828
116,1,1,1,1,1.828,1.172,3.172,4,4
117,0,0,3,3,2,1,0,3,2
118,1,1,2,1,0.828,3.172,1.172,1.172,2.828
119,2,1,3,3,0.624,2.376,3.376,1.376,0.624
120,2,1,3,1,1.624,0,2.376,0.376,0
121,1,1,2,3,3.828,1.172,1.172,1.172,0
122,1,1,1,3,1.828,4,3.172,4,0.828
123,1,1,1,2,1.828,4,3.172,2.172,3.828
124,2,1,2,2,1.624,0.376,1.376,4,1.624
125,1,1,2,2,0.828,0.172,2.172,3.172,0
126,0,0,3,2,2,0,1,1,0
127,0,0,1,3,2,4,1,2,3
128,2,1,3,3,2.624,4,0.376,3.376,0
129,2,1,1,1,3.624,4,4,4,1.624
130,0,0,1,3,4,4,4,4,4
131,1,1,1,2,1.828,2.172,1.172,1.172,3.828
132,2,1,2,1,0,3.376,1.376,0.376,0.624
133,2,1,2,2,0.624,4,4,3.376,3.624
134,1,1,2,2,3.828,2.172,0.172,1.172,3.828
135,0,0,3,1,2,0,2,2,1
136,2,1,2,1,0.624,1.376,0.376,3.376,1.624
137,1,1,3,1,0.828,0,2.172,2.172,0
138,0,0,3,2,0,0,2,1,0
139,1,1,1,2,4,2.172,3.172,2.172,1.828
140,2,1,3,1,0,0.376,0,3.376,0
141,0,0,2,1,0,0,0,2,1
142,1,1,3,1,0,1.172,3.172,2.172,1.828
143,0,0,1,2,4,2,1,2,4
144,0,0,2,3,3,2,3,2,1
145,0,0,2,2,4,4,0,3,0
146,0,0,3,2,0,3,0,0,0
147,1,1,2,2,2.828,2.172,1.172,2.172,1.828
148,1,1,2,1,2.828,0.172,3.172,0.172,1.828
149,1,1,2,2,3.828,4,1.172,0.172,3.828
150,0,0,1,3,4,4,2,4,3
151,0,0,1,3,4,4,1,2,1
152,2,1,2,2,3.624,4,4,4,0
153,2,1,1,3,2.624,4,4,1.376,1.624
154,1,1,1,2,1.828,1.172,4,4,4
155,2,1,3,1,0.624,1.376,0,3.376,2.624
156,0,0,3,1,1,0,1,0,0
157,0,0,3,1,1,0,0,0,0
158,1,1,2,2,0,0.172,0.172,1.172,0.828
159,0,0,1,1,1,0,2,4,1
160,1,1,1,2,3.828,4,4,3.172,1.828
161,1,1,2,2,2.828,1.172,1.172,2.172,0
162,2,1,1,2,0.624,4,4,2.376,4
163,2,1,3,1,1.624,0,1.376,3.376,0.624
164,2,1,2,3,1.624,4,2.376,0.376,1.624
165,1,1,3,2,2.828,0,0.172,0.172,2.828
166,1,1,1,1,3.828,4,2.172,4,3.828
167,2,1,1,3,3.624,2.376,2.376,4,3.624
168,0,0,2,3,1,1,4,0,2
169,1,1,1,3,4,2.172,2.172,3.172,2.828
170,2,1,2,2,3.624,3.376,4,1.376,1.624
171,0,0,1,2,1,2,1,4,4
