"id","treatment","Z","russia","warfare","direct","indirect","economic","political","general"
1,"T1","1.000000",2,3,2.828,2.172,2.172,4,1.828
2,"T2","1.000000",2,1,1.624,1.376,1.376,0.376,0.624
3,"T1","1.000000",1,3,4,4,1.172,4,3.828
4,"T1","1.000000",2,3,0.828,2.172,1.172,1.172,3.828
5,"T0","0.000000",3,3,1,0,0,0,3
6,"T0","0.000000",1,1,3,0,2,1,3
7,"T2","1.000000",1,2,2.624,4,3.376,2.376,1.624
8,"T1","1.000000",1,3,4,3.172,4,1.172,4
9,"T2","1.000000",2,1,0.624,2.376,3.376,2.376,1.624
10,"T2","1.000000",2,3,0.624,3.376,2.376,1.376,3.624
11,"T0","0.000000",2,3,4,3,4,4,0
12,"T0","0.000000",2,2,2,0,0,1,4
13,"T1","1.000000",1,3,1.828,4,4,3.172,1.828
14,"T1","1.000000",2,3,1.828,3.172,2.172,2.172,0.828
15,"T1","1.000000",1,1,0,1.172,3.172,1.172,4
16,"T0","0.000000",3,3,4,3,0,3,2
17,"T1","1.000000",2,2,3.828,2.172,4,0.172,1.828
18,"T1","1.000000",2,1,1.828,1.172,4,1.172,1.828
19,"T1","1.000000",3,1,0,2.172,2.172,1.172,0
20,"T0","0.000000",1,2,2,2,1,2,4
21,"T2","1.000000",1,2,1.624,3.376,4,1.376,2.624
22,"T2","1.000000",3,3,0,0.376,0,0.376,2.624
23,"T1","1.000000",1,3,4,4,2.172,4,2.828
24,"T1","1.000000",1,1,0.828,3.172,4,4,3.828
25,"T2","1.000000",3,3,0.624,4,1.376,3.376,0
26,"T2","1.000000",3,1,0.624,1.376,0,1.376,0
27,"T1","1.000000",2,3,2.828,1.172,3.172,1.172,0
28,"T0","0.000000",3,2,0,3,0,0,2
29,"T1","1.000000",1,2,3.828,4,4,2.172,3.828
30,"T0","0.000000",3,2,0,2,3,0,0
31,"T1","1.000000",2,3,2.828,4,1.172,3.172,1.828
32,"T1","1.000000",1,1,2.828,2.172,3.172,3.172,0.828
33,"T1","1.000000",1,1,3.828,3.172,2.172,2.172,0.828
34,"T2","1.000000",1,3,2.624,2.376,4,1.376,0.624
35,"T1","1.000000",3,2,0,3.172,2.172,3.172,0
36,"T1","1.000000",2,1,2.828,0.172,1.172,3.172,0
37,"T1","1.000000",2,1,1.828,0,4,2.172,0.828
38,"T1","1.000000",1,1,0,4,2.172,1.172,3.828
39,"T2","1.000000",1,2,0.624,2.376,1.376,3.376,2.624
40,"T1","1.000000",2,2,3.828,4,4,2.172,0.828
41,"T2","1.000000",2,1,0.624,2.376,2.376,1.376,0.624
42,"T1","1.000000",1,2,4,4,1.172,4,0.828
43,"T0","0.000000",1,2,3,1,4,3,4
44,"T1","1.000000",2,3,4,2.172,1.172,2.172,2.828
45,"T2","1.000000",2,2,1.624,2.376,0.376,3.376,2.624
46,"T2","1.000000",2,3,2.624,3.376,0.376,3.376,1.624
