Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6372514212c91eb07223dbe4,5d1804fa1a4be70001636be9,APPROVED,2022-11-14T14:31:34.506000Z,2022-11-14T14:34:33.844000Z,2022-11-14T14:34:34.241000,2022-11-14T14:34:34.173763Z,180,C170RZ4V,826,English,33,Female,White,United States,United States,United States,English,No,Full-Time
637251cce633af703a999936,5beb85a3af0b33000111304a,APPROVED,2022-11-14T14:33:51.231000Z,2022-11-14T14:37:01.941000Z,2022-11-14T14:37:02.366000,2022-11-14T14:37:02.306464Z,191,C170RZ4V,1990,English,39,Male,White,United States,United States,United States,English,No,Full-Time
6372524e0327ba32e4286d48,56f873d73592c7000b04d6fe,APPROVED,2022-11-14T14:36:02.603000Z,2022-11-14T14:38:49.303000Z,2022-11-14T14:38:49.740000,2022-11-14T14:38:49.682522Z,167,C170RZ4V,308,English,26,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6372528018edc61b010114c1,6111308dc631d4011ef43a73,APPROVED,2022-11-14T14:36:51.491000Z,2022-11-14T14:39:30.262000Z,2022-11-14T14:39:30.801000,2022-11-14T14:39:30.716493Z,159,C170RZ4V,894,English,23,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
637253385ce6f1a3d9e726a1,631bc8cfe398c3a47b4e8c56,APPROVED,2022-11-14T14:39:56.394000Z,2022-11-14T14:49:31.211000Z,2022-11-14T14:49:31.617000,2022-11-14T14:49:31.562026Z,575,C170RZ4V,41,English,43,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6372535ecc55a09d58863ea6,636b228397b18fea42d5ba72,APPROVED,2022-11-14T14:40:38.099000Z,2022-11-14T14:44:24.414000Z,2022-11-14T14:44:25.415000,2022-11-14T14:44:25.352796Z,227,C170RZ4V,3,English,52,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
637253f9f01fbb8aad5f5cf8,61036c39549abd4fa911d139,APPROVED,2022-11-14T14:43:21.768000Z,2022-11-14T14:46:36.259000Z,2022-11-14T14:46:36.703000,2022-11-14T14:46:36.645425Z,195,C170RZ4V,1636,English,41,Male,White,Canada,United States,United States,English,No,Full-Time
637253fe6014e017e7fad3e3,5eca872c8473f05c071aee4d,APPROVED,2022-11-14T14:43:32.370000Z,2022-11-14T14:53:53.170000Z,2022-11-14T14:53:53.762000,2022-11-14T14:53:53.669219Z,621,C170RZ4V,810,English,34,Male,Black,United States,United States,United States,English,No,Full-Time
637254045efb034cd9d766c5,611205462e9acaa49c0a0e96,APPROVED,2022-11-14T14:43:19.430000Z,2022-11-14T14:46:16.594000Z,2022-11-14T14:46:17.029000,2022-11-14T14:46:16.948032Z,178,C170RZ4V,445,English,29,Male,Mixed,United States,United States,United States,English,Yes,Full-Time
637254443b853572ea1db790,5fa1b1a4499be43137fba435,APPROVED,2022-11-14T14:44:25.387000Z,2022-11-14T14:48:11.055000Z,2022-11-14T14:48:11.533000,2022-11-14T14:48:11.477809Z,226,C170RZ4V,1373,English,67,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
