"StartDate","EndDate","QualtricsStatus","IPAddress","Progress","Duration","isFinishedSurvey","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Consent","prolific_id","Gender","Age","Ethnicity","Education","Employment","Income","Militarism_1","Militarism_2_reverse","Internationalism_1","Internationalism_2_reverse","Ideology_LR","PoliticalInterest","KnowledgeTest_Conservative","KnowledgeTest_NATO","KnowledgeTest_UK","KnowledgeTest_Zelensky","AttentionCheck","Control_First_Click","Control_Last_Click","Control_Page_Submit","Control_Click_Count","Control_Direct","Control_Indirect","Control_Economic","Control_Political","Control_General","Control_Threat","T1_First_Click","T1_Last_Click","T1_Page_Submit","T1_Click_Count","T1_Direct","T1_Indirect","T1_Economic","T1_Political","T1_General","T1_Threat","T2_First_Click","T2_Last_Click","T2_Page_Submit","T2_Click_Count","T2_Direct","T2_Indirect","T2_Economic","T2_Political","T2_General","T2_Threat","Knowledge_Score","Knowledge_Index","Ideology_Index","Militarism_Index","Internationalism_Index","Control_Nonmilitary_Index","T1_Nonmilitary_Index","T2_Nonmilitary_Index","Control_Overall_Index","T1_Overall_Index","T2_Overall_Index","Control_Time_Spent_Index","T1_Time_Spent_Index","T2_Time_Spent_Index","Treatment","Z","TreatmentGroup","Direct_Raw","Indirect_Raw","Economic_Raw","Political_Raw","General_Raw","Threat_Raw","Nonmilitary_Index_Raw","Overall_Index_Raw","Time_Spent_Index","Time_Cutoff","Direct","Indirect","Economic","Political","General","Threat","Nonmilitary_Index","Overall_Index"
"11/14/22 7:31","11/14/22 7:34","IP Address","207.172.68.114",100,175,TRUE,"11/14/22 7:34","R_3e3Hh56eXBR09oG",NA,NA,NA,NA,42.2878,-71.3587,"anonymous","EN","I agree","5d1804fa1a4be70001636be9",0,"25-34 years old",1,1,1,1,-1,-1,1,1,0,1,1,1,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.466,52.997,55.009,9,1,1,1,1,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.75,0,-2,2,NA,3,NA,NA,4,NA,NA,55.009,NA,"T",1,"T1",1,1,1,1,7,9,3,4,55.009,0,1.85771517613309,0.613690778003282,0.397973920370762,0.345614453573934,0.803771052417052,1.09382236379407,0.589241076757026,1.23351538954684
"11/14/22 7:33","11/14/22 7:36","IP Address","162.244.73.57",100,185,TRUE,"11/14/22 7:36","R_3fx8yi7J3bHeq0v",NA,NA,NA,NA,39.1188,-90.3294,"anonymous","EN","I agree","5beb85a3af0b33000111304a",1,"35-44 years old",1,1,1,0,0,-1,-1,-1,6,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.893,66.592,73.782,6,0,1,1,1,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0.6,-1,-2,NA,3,NA,NA,3,NA,NA,73.782,NA,"T",1,"T1",0,1,1,1,7,9,3,3,73.782,0,-0.536495331038436,0.613690778003282,0.397973920370762,0.345614453573934,0.803771052417052,1.09382236379407,0.589241076757026,0.280489287545534
"11/14/22 7:36","11/14/22 7:38","IP Address","172.56.88.84",100,159,TRUE,"11/14/22 7:38","R_2tFQt8cSykQ2l5u",NA,NA,NA,NA,29.522,-98.5974,"anonymous","EN","I agree","56f873d73592c7000b04d6fe",0,"25-34 years old",1,0,0,0,-1,-1,0,0,5,0,0,0,1,1,3,15.098,53.267,54.267,21,0,1,1,1,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.5,0.5,-2,0,3,NA,NA,3,NA,NA,54.267,NA,NA,"C",0,"C",0,1,1,1,6,6,3,3,54.267,0,-0.536495331038436,0.613690778003282,0.397973920370762,0.345614453573934,0.323115963071655,-0.297892048012001,0.589241076757026,0.280489287545534
"11/14/22 7:36","11/14/22 7:39","IP Address","172.58.107.157",100,152,TRUE,"11/14/22 7:39","R_1MXr17964QAJGbC",NA,NA,NA,NA,33.0512,-97.0048,"anonymous","EN","I agree","6111308dc631d4011ef43a73",0,"18-24 years old",1,1,1,1,1,1,1,1,6,0,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.64,37.244,38.459,24,1,1,1,1,9,8,4,1,0.6,2,2,NA,NA,3,NA,NA,4,NA,NA,38.459,"T",1,"T2",1,1,1,1,9,8,3,4,38.459,0,1.85771517613309,0.613690778003282,0.397973920370762,0.345614453573934,1.76508123110785,0.629917559858711,0.589241076757026,1.23351538954684
"11/14/22 7:40","11/14/22 7:44","IP Address","174.208.232.128",100,219,TRUE,"11/14/22 7:44","R_3eeQsHa7McuGcEu",NA,NA,NA,NA,41.6963,-87.6576,"anonymous","EN","I agree","636b228397b18fea42d5ba72",1,"45-54 years old",1,1,0,0,-1,-1,-1,-1,0,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.719,56.183,57.003,15,0,1,1,1,8,9,4,1,0,-2,-2,NA,NA,3,NA,NA,3,NA,NA,57.003,"T",1,"T2",0,1,1,1,8,9,3,3,57.003,0,-0.536495331038436,0.613690778003282,0.397973920370762,0.345614453573934,1.28442614176245,1.09382236379407,0.589241076757026,0.280489287545534
"11/14/22 7:43","11/14/22 7:46","IP Address","98.6.125.245",100,171,TRUE,"11/14/22 7:46","R_sZRCeV6QsTbiIeJ",NA,NA,NA,NA,29.9177,-93.9244,"anonymous","EN","I agree","611205462e9acaa49c0a0e96",1,"25-34 years old",0,1,1,0,0,0,1,0,6,0,1,0,0,1,3,1.625,55.035,55.485,19,0,0,0,1,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.5,0.6,0,1,1,NA,NA,1,NA,NA,55.485,NA,NA,"C",0,"C",0,0,0,1,5,6,1,1,55.485,0,-0.536495331038436,-1.62403535154527,-2.50432369404041,0.345614453573934,-0.157539126273742,-0.297892048012001,-1.68408901292492,-1.62556291645707
"11/14/22 7:43","11/14/22 7:46","IP Address","50.52.5.43",100,183,TRUE,"11/14/22 7:46","R_2wdkYUTAgVqV51F",NA,NA,NA,NA,47.9669,-116.8692,"anonymous","EN","I agree","61036c39549abd4fa911d139",1,"35-44 years old",1,1,1,0,1,0,1,-1,10,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.566,55.096,56.047,20,0,1,1,1,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,0,NA,3,NA,NA,3,NA,NA,56.047,NA,"T",1,"T1",0,1,1,1,7,5,3,3,56.047,0,-0.536495331038436,0.613690778003282,0.397973920370762,0.345614453573934,0.803771052417052,-0.761796851947358,0.589241076757026,0.280489287545534
"11/14/22 7:44","11/14/22 7:48","IP Address","107.196.119.117",100,221,TRUE,"11/14/22 7:48","R_1JVn1h2b9vIH77K",NA,NA,NA,NA,33.6454,-86.7014,"anonymous","EN","I agree","5fa1b1a4499be43137fba435",0,"55+ years old",1,0,0,0,1,1,1,0,10,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.812,96.154,97.196,17,0,1,1,1,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,2,1,NA,3,NA,NA,3,NA,NA,97.196,NA,"T",1,"T1",0,1,1,1,8,10,3,3,97.196,1,-0.536495331038436,0.613690778003282,0.397973920370762,0.345614453573934,1.28442614176245,1.55772716772942,0.589241076757026,0.280489287545534
"11/14/22 7:47","11/14/22 7:49","IP Address","70.169.187.163",100,106,TRUE,"11/14/22 7:49","R_xxgVuqjsl9VstC9",NA,NA,NA,NA,29.6138,-82.386,"anonymous","EN","I agree","5ebca40606c6fe000da5f510",1,"18-24 years old",1,1,1,0,-1,-1,1,-1,2,1,1,1,1,1,3,23.887,38.165,38.66,10,0,1,1,1,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0.2,-2,0,3,NA,NA,3,NA,NA,38.66,NA,NA,"C",0,"C",0,1,1,1,7,6,3,3,38.66,0,-0.536495331038436,0.613690778003282,0.397973920370762,0.345614453573934,0.803771052417052,-0.297892048012001,0.589241076757026,0.280489287545534
"11/14/22 7:40","11/14/22 7:49","IP Address","174.205.96.104",100,551,TRUE,"11/14/22 7:49","R_2AKeiza5pw0vTFt",NA,NA,NA,NA,32.246,-110.9177,"anonymous","EN","I agree","631bc8cfe398c3a47b4e8c56",0,"35-44 years old",1,1,0,1,1,1,0,1,9,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.774,88.909,91.105,22,1,1,0,0,9,10,4,1,0.9,2,1,NA,NA,1,NA,NA,2,NA,NA,91.105,"T",1,"T2",1,1,0,0,9,10,1,2,91.105,1,1.85771517613309,0.613690778003282,-2.50432369404041,-2.88372059700751,1.76508123110785,1.55772716772942,-1.68408901292492,-0.672536814455769
